city,year,avg_temp(Gaborone)
Gaborone,1857,18.18
Gaborone,1858,18.48
Gaborone,1859,18.55
Gaborone,1860,18.73
Gaborone,1861,18.5
Gaborone,1862,18.1
Gaborone,1863,18.51
Gaborone,1864,18.51
Gaborone,1865,18.84
Gaborone,1866,18.76
Gaborone,1867,18.85
Gaborone,1868,18.51
Gaborone,1869,18.85
Gaborone,1870,18.53
Gaborone,1871,18.63
Gaborone,1872,18.63
Gaborone,1873,17.5
Gaborone,1874,18.65
Gaborone,1875,18.38
Gaborone,1876,18.38
Gaborone,1877,18.86
Gaborone,1878,18.77
Gaborone,1879,18.28
Gaborone,1880,18.95
Gaborone,1881,18.54
Gaborone,1882,18.42
Gaborone,1883,18.59
Gaborone,1884,18.3
Gaborone,1885,18.73
Gaborone,1886,18.83
Gaborone,1887,18.42
Gaborone,1888,18.6
Gaborone,1889,19.09
Gaborone,1890,18.45
Gaborone,1891,18.65
Gaborone,1892,18.56
Gaborone,1893,18.49
Gaborone,1894,18.53
Gaborone,1895,18.66
Gaborone,1896,19.18
Gaborone,1897,18.76
Gaborone,1898,18.12
Gaborone,1899,18.6
Gaborone,1900,19.09
Gaborone,1901,18.51
Gaborone,1902,18.4
Gaborone,1903,18.55
Gaborone,1904,18.12
Gaborone,1905,18.59
Gaborone,1906,18.25
Gaborone,1907,18.11
Gaborone,1908,18.72
Gaborone,1909,18.58
Gaborone,1910,18.24
Gaborone,1911,18.5
Gaborone,1912,19.05
Gaborone,1913,19.16
Gaborone,1914,19.28
Gaborone,1915,18.73
Gaborone,1916,18.93
Gaborone,1917,18.37
Gaborone,1918,18.36
Gaborone,1919,19.03
Gaborone,1920,19.04
Gaborone,1921,18.4
Gaborone,1922,19.28
Gaborone,1923,19.27
Gaborone,1924,18.54
Gaborone,1925,18.59
Gaborone,1926,19.29
Gaborone,1927,19.11
Gaborone,1928,19.07
Gaborone,1929,19.27
Gaborone,1930,18.41
Gaborone,1931,18.93
Gaborone,1932,19.25
Gaborone,1933,19.25
Gaborone,1934,19.2
Gaborone,1935,18.6
Gaborone,1936,18.68
Gaborone,1937,18.76
Gaborone,1938,19.33
Gaborone,1939,18.51
Gaborone,1940,19.26
Gaborone,1941,19.55
Gaborone,1942,19.47
Gaborone,1943,18.8
Gaborone,1944,19.09
Gaborone,1945,19
Gaborone,1946,19.06
Gaborone,1947,19.44
Gaborone,1948,18.92
Gaborone,1949,19.38
Gaborone,1950,19.43
Gaborone,1951,18.78
Gaborone,1952,19.37
Gaborone,1953,18.69
Gaborone,1954,18.93
Gaborone,1955,18.36
Gaborone,1956,19.11
Gaborone,1957,19.4
Gaborone,1958,19.38
Gaborone,1959,19.15
Gaborone,1960,19.2
Gaborone,1961,19.27
Gaborone,1962,19.48
Gaborone,1963,18.97
Gaborone,1964,19.28
Gaborone,1965,19.44
Gaborone,1966,19.64
Gaborone,1967,18.58
Gaborone,1968,18.9
Gaborone,1969,19.57
Gaborone,1970,19.94
Gaborone,1971,19.04
Gaborone,1972,19.27
Gaborone,1973,19.39
Gaborone,1974,18.7
Gaborone,1975,18.8
Gaborone,1976,18.38
Gaborone,1977,19.37
Gaborone,1978,19.15
Gaborone,1979,19.7
Gaborone,1980,18.75
Gaborone,1981,18.72
Gaborone,1982,19.47
Gaborone,1983,20.16
Gaborone,1984,19.77
Gaborone,1985,19.68
Gaborone,1986,19.54
Gaborone,1987,20.02
Gaborone,1988,19.18
Gaborone,1989,18.94
Gaborone,1990,19.54
Gaborone,1991,19.29
Gaborone,1992,20.59
Gaborone,1993,19.97
Gaborone,1994,19.26
Gaborone,1995,19.96
Gaborone,1996,19.1
Gaborone,1997,19.26
Gaborone,1998,20.05
Gaborone,1999,20.24
Gaborone,2000,18.97
Gaborone,2001,19.36
Gaborone,2002,19.89
Gaborone,2003,20.6
Gaborone,2004,19.41
Gaborone,2005,20.42
Gaborone,2006,18.97
Gaborone,2007,19.71
Gaborone,2008,19.63
Gaborone,2009,19.25
Gaborone,2010,19.98
Gaborone,2011,19.19
Gaborone,2012,19.83
Gaborone,2013,18.69
